t_cam_ns,t_recv_ns,frame_id,cx,cy,vx,vy,conf,x,y,z,roll,pitch,yaw,gripper,cartesian_v,joint_v
1757819278396101684,1757819278404802282,105,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278429555891,1757819278438152882,106,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278462789051,1757819278470751614,107,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278496191519,1757819278503056424,108,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278529684843,1757819278537132610,109,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278562871267,1757819278570592951,110,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278596344647,1757819278603291902,111,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278629775401,1757819278637885448,112,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278663088711,1757819278670074628,113,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278696482098,1757819278703416769,114,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278729894007,1757819278736866757,115,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278763214281,1757819278770317670,116,322,247,0.0,0.0,0.26057684421539307,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278796601207,1757819278803722276,117,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278830018896,1757819278837143230,118,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278863281758,1757819278870326932,119,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278896714199,1757819278903748307,120,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278930122618,1757819278937356105,121,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278963443559,1757819278970420345,122,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278996840476,1757819279003823349,123,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279030246865,1757819279037282980,124,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279063590934,1757819279070458557,125,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279096874452,1757819279103821759,126,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279130286805,1757819279137444247,127,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279163620647,1757819279170455212,128,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279196970464,1757819279203821079,129,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279230414930,1757819279237495961,130,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279263727113,1757819279271134810,131,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279297121563,1757819279304434050,132,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279330504348,1757819279337650611,133,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279363872909,1757819279370827570,134,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279396313297,1757819279400545178,135,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279430238590,1757819279436487286,136,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279463962329,1757819279472398828,137,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819279497201065,1757819279504679825,138,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
