t_ns,cx,cy,r_px,bx,by,bz,ee_x,ee_y,ee_z,ee_r,ee_p,ee_yaw,vx,vy,vz,wx,wy,wz
1758229626512152670,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626545837774,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626579701765,212,289,25.0,-0.19650731707317073,0.08915609756097562,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626613693696,212,289,25.0,-0.1961560975609756,0.08899674796747967,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626647289882,211,287,25.0,-0.19885853658536587,0.08574634146341464,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626680596681,212,288,25.0,-0.19703414634146343,0.08757073170731709,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626714029447,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626747480698,212,289,25.0,-0.1963317073170732,0.08907642276422764,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626780690437,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626814145074,212,288,25.0,-0.19703414634146343,0.08757073170731709,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626846722961,212,288,25.0,-0.1961560975609756,0.08718048780487805,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626881097366,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626913085748,212,289,25.0,-0.1958048780487805,0.08883739837398373,1.115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626951257386,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229626980520892,211,288,25.0,-0.1977951219512195,0.08710243902439026,1.116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229627012964916,211,287,25.0,-0.19797235772357724,0.08536422764227643,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229627046542312,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229627080555840,212,289,25.0,-0.1963317073170732,0.08907642276422764,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
